ID,timestamp,shop_ID,customer_ID,employee_ID,product_ID,currency,quantity,total,discount,payment_method
2311f628-ffa7-449d-a1ae-73b4549be5aa,2007-09-12T09:32:55,33736a3b-de05-4a25-b9d7-7617423ee4ba,5098c342-8a94-48a4-8154-c745226b3219,e4b97d09-cf99-4c8a-a3f7-2b87f9f8f9c0,2985bed3-bb86-4b91-bfcf-c0f943015ec5,€,17,102,0.0,invoice
49b1d337-2487-4d3c-85d4-6386aa68a0cc,2013-03-24T03:14:58,308790a8-d0fa-4b24-b929-0ed579d291ac,5e98280d-13e9-45e5-b128-6f45732a0c9c,b7891123-3922-4a5f-bebb-b52c582dd2c2,d8aed834-97bd-47bd-ad07-68eb87593d6a,€,4,20,0.0,cash
f3664c37-d90f-47ca-8e39-89ff8b69b72c,2015-11-22T13:46:39,33736a3b-de05-4a25-b9d7-7617423ee4ba,6bcb74e4-e298-4311-a866-e703c6e3bfef,11b0fcfb-3628-4e2d-a152-b661cd37a98f,fa21e18d-ab54-45b2-bea1-717ae3a8de36,€,14,126,0.0,credit_card
e25d170e-e959-4b11-aa00-49820e47ca78,2000-11-16T21:05:43,308790a8-d0fa-4b24-b929-0ed579d291ac,eaacd126-415c-403e-b0b9-adfd4c92cac9,1bc7a820-a1fc-4ba0-a723-17c3872a7dad,5bf0aca3-645d-42b4-af6d-7fd0478498dd,€,14,28,0.0,credit_card
d13a5fe1-a24c-4722-a156-73c7ec765f49,2020-07-06T09:33:36,5d24583c-da6e-489e-9b17-87eca813ee9f,7a4476aa-de21-416e-ae49-613f86851bac,25d56623-3b01-4328-9928-e5f16d6ab2dc,8bb6194d-7ce1-41a3-8c0a-9d0adfeeab34,€,4,28,0.0,cash
1e520b44-5607-4010-ad41-b9fad03f383e,1972-04-02T13:57:38,5d24583c-da6e-489e-9b17-87eca813ee9f,b89f56e9-424a-44d0-81a8-ebdf6cf73a51,46733c73-19e3-445e-b79b-217209575f06,2985bed3-bb86-4b91-bfcf-c0f943015ec5,€,16,96,0.0,credit_card
8ccfd3ea-5691-4d17-a0a2-292117713c84,2015-03-12T10:20:07,5e634105-c605-4a96-9414-4e1d428b7df7,b497df10-b174-4c27-aa5f-a7dd53d7a4c2,4451b969-44f1-4894-9b61-44820c2fed99,2985bed3-bb86-4b91-bfcf-c0f943015ec5,€,14,84,0.0,cash
117a016e-b8c6-482e-81eb-1784a2accf01,1987-10-23T06:48:01,33736a3b-de05-4a25-b9d7-7617423ee4ba,7823b719-1ef9-4d51-a241-c6e27de20b02,df318017-6d7e-44c2-922d-b930943edd97,e85b8546-c6b0-425f-b79d-024899fb716d,€,8,48,0.0,invoice
507d2981-c2db-4d22-9eeb-ce18785ecf7f,1979-07-28T20:41:53,5d24583c-da6e-489e-9b17-87eca813ee9f,bbbb33ef-316d-4843-93b5-6157359efd92,e5452cc7-c4eb-497d-a11c-b1f3b4383ea8,d8aed834-97bd-47bd-ad07-68eb87593d6a,€,17,85,0.0,credit_card
bab33509-4824-4e95-8842-d3af133f2d76,1978-11-24T19:49:29,33736a3b-de05-4a25-b9d7-7617423ee4ba,a6727c29-c87b-4029-87ae-df09b39d4504,2f888e0a-6607-4edc-a832-afc66571dbf5,2985bed3-bb86-4b91-bfcf-c0f943015ec5,€,8,48,0.0,credit_card
e7f5a987-14db-4ecb-aae7-eacf4a15c9c9,2010-04-06T08:15:35,5d24583c-da6e-489e-9b17-87eca813ee9f,a15b055a-4f19-43bd-bbff-a299ffd05570,5334c2d8-f0df-44bf-85c6-b283fbf539d5,fa21e18d-ab54-45b2-bea1-717ae3a8de36,€,8,72,0.0,credit_card
